DateKey,Date,Fiscal Year,Fiscal Quarter,Month,MonthKey,Full Date
20190701,2019-07-01T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 01"
20190702,2019-07-02T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 02"
20190703,2019-07-03T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 03"
20190704,2019-07-04T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 04"
20190705,2019-07-05T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 05"
20190706,2019-07-06T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 06"
20190707,2019-07-07T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 07"
20190708,2019-07-08T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 08"
20190709,2019-07-09T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 09"
20190710,2019-07-10T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 10"
20190711,2019-07-11T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 11"
20190712,2019-07-12T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 12"
20190713,2019-07-13T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 13"
20190714,2019-07-14T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 14"
20190715,2019-07-15T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 15"
20190716,2019-07-16T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 16"
20190717,2019-07-17T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 17"
20190718,2019-07-18T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 18"
20190719,2019-07-19T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 19"
20190720,2019-07-20T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 20"
20190721,2019-07-21T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 21"
20190722,2019-07-22T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 22"
20190723,2019-07-23T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 23"
20190724,2019-07-24T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 24"
20190725,2019-07-25T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 25"
20190726,2019-07-26T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 26"
20190727,2019-07-27T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 27"
20190728,2019-07-28T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 28"
20190729,2019-07-29T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 29"
20190730,2019-07-30T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 30"
20190731,2019-07-31T00:00:00,FY2020,FY2020 Q1,2019 Jul,201907,"2019 Jul, 31"
20190801,2019-08-01T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 01"
20190802,2019-08-02T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 02"
20190803,2019-08-03T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 03"
20190804,2019-08-04T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 04"
20190805,2019-08-05T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 05"
20190806,2019-08-06T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 06"
20190807,2019-08-07T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 07"
20190808,2019-08-08T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 08"
20190809,2019-08-09T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 09"
20190810,2019-08-10T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 10"
20190811,2019-08-11T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 11"
20190812,2019-08-12T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 12"
20190813,2019-08-13T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 13"
20190814,2019-08-14T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 14"
20190815,2019-08-15T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 15"
20190816,2019-08-16T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 16"
20190817,2019-08-17T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 17"
20190818,2019-08-18T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 18"
20190819,2019-08-19T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 19"
20190820,2019-08-20T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 20"
20190821,2019-08-21T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 21"
20190822,2019-08-22T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 22"
20190823,2019-08-23T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 23"
20190824,2019-08-24T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 24"
20190825,2019-08-25T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 25"
20190826,2019-08-26T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 26"
20190827,2019-08-27T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 27"
20190828,2019-08-28T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 28"
20190829,2019-08-29T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 29"
20190830,2019-08-30T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 30"
20190831,2019-08-31T00:00:00,FY2020,FY2020 Q1,2019 Aug,201908,"2019 Aug, 31"
20190901,2019-09-01T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 01"
20190902,2019-09-02T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 02"
20190903,2019-09-03T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 03"
20190904,2019-09-04T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 04"
20190905,2019-09-05T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 05"
20190906,2019-09-06T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 06"
20190907,2019-09-07T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 07"
20190908,2019-09-08T00:00:00,FY2020,FY2020 Q1,2019 Sep,201909,"2019 Sep, 08"
