ProductKey,Product,Standard Cost,Color,List Price,Model,Subcategory,Category,SKU
210,"HL Road Frame - Black, 58",868.6342,Black,1431.5,HL Road Frame,Road Frames,Components,FR-R92B-58
215,"Sport-100 Helmet, Black",12.0278,Black,33.6442,Sport-100,Helmets,Accessories,HL-U509
216,"Sport-100 Helmet, Black",13.8782,Black,33.6442,Sport-100,Helmets,Accessories,HL-U509
217,"Sport-100 Helmet, Black",13.0863,Black,34.99,Sport-100,Helmets,Accessories,HL-U509
253,"LL Road Frame - Black, 58",176.1997,Black,297.6346,LL Road Frame,Road Frames,Components,FR-R38B-58
254,"LL Road Frame - Black, 58",170.1428,Black,306.5636,LL Road Frame,Road Frames,Components,FR-R38B-58
255,"LL Road Frame - Black, 58",204.6251,Black,337.22,LL Road Frame,Road Frames,Components,FR-R38B-58
256,"LL Road Frame - Black, 60",176.1997,Black,297.6346,LL Road Frame,Road Frames,Components,FR-R38B-60
257,"LL Road Frame - Black, 60",170.1428,Black,306.5636,LL Road Frame,Road Frames,Components,FR-R38B-60
258,"LL Road Frame - Black, 60",204.6251,Black,337.22,LL Road Frame,Road Frames,Components,FR-R38B-60
259,"LL Road Frame - Black, 62",176.1997,Black,297.6346,LL Road Frame,Road Frames,Components,FR-R38B-62
260,"LL Road Frame - Black, 62",170.1428,Black,306.5636,LL Road Frame,Road Frames,Components,FR-R38B-62
261,"LL Road Frame - Black, 62",204.6251,Black,337.22,LL Road Frame,Road Frames,Components,FR-R38B-62
279,"LL Road Frame - Black, 44",176.1997,Black,297.6346,LL Road Frame,Road Frames,Components,FR-R38B-44
280,"LL Road Frame - Black, 44",170.1428,Black,306.5636,LL Road Frame,Road Frames,Components,FR-R38B-44
281,"LL Road Frame - Black, 44",204.6251,Black,337.22,LL Road Frame,Road Frames,Components,FR-R38B-44
282,"LL Road Frame - Black, 48",176.1997,Black,297.6346,LL Road Frame,Road Frames,Components,FR-R38B-48
283,"LL Road Frame - Black, 48",170.1428,Black,306.5636,LL Road Frame,Road Frames,Components,FR-R38B-48
284,"LL Road Frame - Black, 48",204.6251,Black,337.22,LL Road Frame,Road Frames,Components,FR-R38B-48
285,"LL Road Frame - Black, 52",176.1997,Black,297.6346,LL Road Frame,Road Frames,Components,FR-R38B-52
286,"LL Road Frame - Black, 52",170.1428,Black,306.5636,LL Road Frame,Road Frames,Components,FR-R38B-52
287,"LL Road Frame - Black, 52",204.6251,Black,337.22,LL Road Frame,Road Frames,Components,FR-R38B-52
296,"HL Mountain Frame - Black, 42",617.0281,Black,1191.1739,HL Mountain Frame,Mountain Frames,Components,FR-M94B-42
297,"HL Mountain Frame - Black, 42",653.6971,Black,1226.9091,HL Mountain Frame,Mountain Frames,Components,FR-M94B-42
298,"HL Mountain Frame - Black, 42",739.041,Black,1349.6,HL Mountain Frame,Mountain Frames,Components,FR-M94B-42
299,"HL Mountain Frame - Black, 44",699.0928,Black,1349.6,HL Mountain Frame,Mountain Frames,Components,FR-M94B-44
300,"HL Mountain Frame - Black, 48",699.0928,Black,1349.6,HL Mountain Frame,Mountain Frames,Components,FR-M94B-48
301,"HL Mountain Frame - Black, 46",617.0281,Black,1191.1739,HL Mountain Frame,Mountain Frames,Components,FR-M94B-46
302,"HL Mountain Frame - Black, 46",653.6971,Black,1226.9091,HL Mountain Frame,Mountain Frames,Components,FR-M94B-46
303,"HL Mountain Frame - Black, 46",739.041,Black,1349.6,HL Mountain Frame,Mountain Frames,Components,FR-M94B-46
304,"HL Mountain Frame - Black, 38",617.0281,Black,1191.1739,HL Mountain Frame,Mountain Frames,Components,FR-M94B-38
305,"HL Mountain Frame - Black, 38",653.6971,Black,1226.9091,HL Mountain Frame,Mountain Frames,Components,FR-M94B-38
306,"HL Mountain Frame - Black, 38",739.041,Black,1349.6,HL Mountain Frame,Mountain Frames,Components,FR-M94B-38
332,"Road-650 Black, 58",413.1463,Black,699.0982,Road-650,Road Bikes,Bikes,BK-R50B-58
333,"Road-650 Black, 58",486.7066,Black,782.99,Road-650,Road Bikes,Bikes,BK-R50B-58
334,"Road-650 Black, 60",413.1463,Black,699.0982,Road-650,Road Bikes,Bikes,BK-R50B-60
335,"Road-650 Black, 60",486.7066,Black,782.99,Road-650,Road Bikes,Bikes,BK-R50B-60
336,"Road-650 Black, 62",413.1463,Black,699.0982,Road-650,Road Bikes,Bikes,BK-R50B-62
337,"Road-650 Black, 62",486.7066,Black,782.99,Road-650,Road Bikes,Bikes,BK-R50B-62
338,"Road-650 Black, 44",413.1463,Black,699.0982,Road-650,Road Bikes,Bikes,BK-R50B-44
339,"Road-650 Black, 44",486.7066,Black,782.99,Road-650,Road Bikes,Bikes,BK-R50B-44
340,"Road-650 Black, 48",413.1463,Black,699.0982,Road-650,Road Bikes,Bikes,BK-R50B-48
341,"Road-650 Black, 48",486.7066,Black,782.99,Road-650,Road Bikes,Bikes,BK-R50B-48
342,"Road-650 Black, 52",413.1463,Black,699.0982,Road-650,Road Bikes,Bikes,BK-R50B-52
343,"Road-650 Black, 52",486.7066,Black,782.99,Road-650,Road Bikes,Bikes,BK-R50B-52
348,"Mountain-100 Black, 38",1898.0944,Black,3374.99,Mountain-100,Mountain Bikes,Bikes,BK-M82B-38
349,"Mountain-100 Black, 42",1898.0944,Black,3374.99,Mountain-100,Mountain Bikes,Bikes,BK-M82B-42
350,"Mountain-100 Black, 44",1898.0944,Black,3374.99,Mountain-100,Mountain Bikes,Bikes,BK-M82B-44
351,"Mountain-100 Black, 48",1898.0944,Black,3374.99,Mountain-100,Mountain Bikes,Bikes,BK-M82B-48
358,"Mountain-200 Black, 38",1105.81,Black,2049.0982,Mountain-200,Mountain Bikes,Bikes,BK-M68B-38
359,"Mountain-200 Black, 38",1251.9813,Black,2294.99,Mountain-200,Mountain Bikes,Bikes,BK-M68B-38
360,"Mountain-200 Black, 42",1105.81,Black,2049.0982,Mountain-200,Mountain Bikes,Bikes,BK-M68B-42
361,"Mountain-200 Black, 42",1251.9813,Black,2294.99,Mountain-200,Mountain Bikes,Bikes,BK-M68B-42
362,"Mountain-200 Black, 46",1105.81,Black,2049.0982,Mountain-200,Mountain Bikes,Bikes,BK-M68B-46
363,"Mountain-200 Black, 46",1251.9813,Black,2294.99,Mountain-200,Mountain Bikes,Bikes,BK-M68B-46
364,"Mountain-300 Black, 38",598.4354,Black,1079.99,Mountain-300,Mountain Bikes,Bikes,BK-M47B-38
365,"Mountain-300 Black, 40",598.4354,Black,1079.99,Mountain-300,Mountain Bikes,Bikes,BK-M47B-40
366,"Mountain-300 Black, 44",598.4354,Black,1079.99,Mountain-300,Mountain Bikes,Bikes,BK-M47B-44
367,"Mountain-300 Black, 48",598.4354,Black,1079.99,Mountain-300,Mountain Bikes,Bikes,BK-M47B-48
373,"Road-250 Black, 44",1320.6838,Black,2181.5625,Road-250,Road Bikes,Bikes,BK-R89B-44
374,"Road-250 Black, 44",1554.9479,Black,2443.35,Road-250,Road Bikes,Bikes,BK-R89B-44
375,"Road-250 Black, 48",1320.6838,Black,2181.5625,Road-250,Road Bikes,Bikes,BK-R89B-48
376,"Road-250 Black, 48",1554.9479,Black,2443.35,Road-250,Road Bikes,Bikes,BK-R89B-48
377,"Road-250 Black, 52",1320.6838,Black,2181.5625,Road-250,Road Bikes,Bikes,BK-R89B-52
378,"Road-250 Black, 52",1554.9479,Black,2443.35,Road-250,Road Bikes,Bikes,BK-R89B-52
379,"Road-250 Black, 58",1320.6838,Black,2181.5625,Road-250,Road Bikes,Bikes,BK-R89B-58
380,"Road-250 Black, 58",1554.9479,Black,2443.35,Road-250,Road Bikes,Bikes,BK-R89B-58
409,"ML Mountain Frame - Black, 38",185.8193,Black,348.76,ML Mountain Frame-W,Mountain Frames,Components,FR-M63B-38
410,LL Mountain Front Wheel,26.9708,Black,60.745,LL Mountain Front Wheel,Wheels,Components,FW-M423
411,ML Mountain Front Wheel,92.8071,Black,209.025,ML Mountain Front Wheel,Wheels,Components,FW-M762
412,HL Mountain Front Wheel,133.2955,Black,300.215,HL Mountain Front Wheel,Wheels,Components,FW-M928
413,LL Road Front Wheel,37.9909,Black,85.565,LL Road Front Wheel,Wheels,Components,FW-R623
414,ML Road Front Wheel,110.2829,Black,248.385,ML Road Front Wheel,Wheels,Components,FW-R762
415,HL Road Front Wheel,146.5466,Black,330.06,HL Road Front Wheel,Wheels,Components,FW-R820
416,Touring Front Wheel,96.7964,Black,218.01,Touring Front Wheel,Wheels,Components,FW-T905
419,LL Mountain Rear Wheel,38.9588,Black,87.745,LL Mountain Rear Wheel,Wheels,Components,RW-M423
420,ML Mountain Rear Wheel,104.7951,Black,236.025,ML Mountain Rear Wheel,Wheels,Components,RW-M762
421,HL Mountain Rear Wheel,145.2835,Black,327.215,HL Mountain Rear Wheel,Wheels,Components,RW-M928
